event_type,event_percentage,bbox,road_completeness,building_completeness,current_density
local_knowledge,63.9974167314215,"-72.7734375,18.984375,-72.421875,19.16015625",1,1,7372.51
local_knowledge,66.0948571041122,"27.421875,-16.5234375,28.125,-16.171875",1,1,1167.81
local_knowledge,71.5318643486003,"30.234375,-1.7578125,30.9375,-1.40625",1,1,623.56
local_knowledge,71.0243363548751,"39.19921875,-6.85546875,39.287109375,-6.8115234375",0,1,307881.1
local_knowledge,66.9537546369981,"39.19921875,-6.78955078125,39.2431640625,-6.767578125",0,1,223900.83
local_knowledge,71.4008863902168,"108.10546875,-6.767578125,108.28125,-6.6796875",1,1,36570.38
local_knowledge,67.7767730583117,"104.0625,-4.921875,105.46875,-4.21875",1,1,496.72
local_knowledge,64.0084871763102,"120.234375,-1.40625,120.9375,-1.0546875",1,1,1027.37
local_knowledge,64.2070836659921,"2.8125,6.6796875,3.515625,7.03125",1,1,35036.72
local_knowledge,60.1925432085152,"4.21875,7.734375,5.625,8.4375",1,1,4685.46
local_knowledge,60.6039704499742,"7.03125,5.625,8.4375,6.328125",1,1,3391.09
local_knowledge,66.6205541757859,"7.03125,8.7890625,7.734375,9.140625",0,1,5412.64
local_knowledge,65.1408737890472,"29.35546875,0.439453125,29.53125,0.52734375",1,1,30240.69
local_knowledge,72.6836470736709,"26.71875,9.140625,27.421875,9.4921875",1,1,543.38
local_knowledge,70.9539104348944,"30.9375,14.0625,33.75,15.46875",1,1,230.15
local_knowledge,61.0516576841195,"32.34375,15.64453125,32.6953125,15.8203125",0,1,11310.35
local_knowledge,72.7969618332869,"11.25,32.34375,14.0625,33.75",1,1,3017.91
local_knowledge,77.7448223596655,"79.8046875,7.03125,79.98046875,7.119140625",1,1,54284.25
local_knowledge,62.8407589355973,"124.8046875,11.07421875,125.15625,11.25",1,1,8952.75
remote_event,80.0828612371271,"91.0546875,23.37890625,91.23046875,23.466796875",0,1,39571.01
remote_event,81.3990801431117,"91.0546875,23.466796875,91.23046875,23.5546875",1,1,20313.4
remote_event,81.9717475517576,"90.263671875,23.90625,90.3515625,23.9501953125",0,1,175811.45
remote_event,95.3247428141854,"90.0,24.08203125,90.3515625,24.2578125",1,1,6367.6
remote_event,83.5305495665453,"-80.5078125,-1.0546875,-80.15625,-0.87890625",1,1,7265.44
remote_event,85.0418881978786,"-80.5078125,-0.87890625,-80.15625,-0.703125",1,1,2628.78
remote_event,84.1446967372812,"-118.388671875,33.837890625,-118.30078125,33.8818359375",0,1,254701.39
remote_event,84.6845926310191,"-118.212890625,33.8818359375,-118.125,33.92578125",0,1,231439.55
remote_event,83.270185332041,"-118.388671875,33.92578125,-118.30078125,33.9697265625",0,1,236460.46
remote_event,81.0994672132136,"-118.388671875,34.013671875,-118.30078125,34.0576171875",0,1,269632.35
remote_event,80.9053089243653,"-118.4765625,34.1455078125,-118.388671875,34.189453125",0,1,238975.92
remote_event,80.1755923322761,"-118.388671875,34.189453125,-118.30078125,34.2333984375",0,1,152953.53
remote_event,84.2384554203633,"-118.037109375,34.0576171875,-117.94921875,34.1015625",0,1,201623.52
remote_event,80.9828865984177,"-74.53125,17.9296875,-73.828125,18.28125",1,1,903.42
remote_event,95.2974908045317,"-4.21875,14.0625,-3.515625,14.4140625",1,1,866.56
remote_event,90.2671488048606,"-4.21875,14.58984375,-3.8671875,14.765625",1,1,845.35
remote_event,96.0165564196428,"30.9375,-27.0703125,31.640625,-26.71875",1,1,1255.86
remote_event,80.0431825673064,"31.640625,-27.421875,32.34375,-27.0703125",1,1,449.35
remote_event,84.4325350050345,"43.59375,-23.90625,45.0,-23.203125",1,1,355.97
remote_event,94.9453883298887,"15.46875,-17.2265625,15.8203125,-17.05078125",1,1,3359.4
remote_event,81.1214627635645,"26.71875,-20.390625,28.125,-19.6875",0,1,524.12
remote_event,90.2094882121038,"28.125,-21.796875,29.53125,-21.09375",1,1,331.14
remote_event,81.5275842730955,"28.125,-21.09375,29.53125,-20.390625",1,1,556.07
remote_event,93.3742109465628,"28.125,-20.0390625,28.828125,-19.6875",0,1,349.56
remote_event,81.3043436395674,"29.53125,-21.09375,30.234375,-20.7421875",1,1,771.96
remote_event,93.2079789103094,"29.53125,-20.7421875,30.234375,-20.390625",0,1,582.67
remote_event,91.5033423540095,"30.234375,-20.7421875,30.9375,-20.390625",0,1,566.15
remote_event,80.690966795454,"29.53125,-20.390625,30.234375,-20.0390625",0,1,1054.66
remote_event,81.4317798727161,"30.234375,-20.0390625,30.9375,-19.6875",1,1,436.68
remote_event,93.4283706496796,"32.34375,-20.7421875,33.046875,-20.390625",1,1,1139.56
remote_event,94.3116423879068,"32.34375,-20.390625,33.75,-19.6875",0,1,584.29
remote_event,83.3266707993689,"30.234375,-19.6875,30.9375,-19.3359375",1,1,442.15
remote_event,85.39959305216,"30.234375,-18.984375,30.9375,-18.6328125",1,1,494.04
remote_event,93.8178585077712,"30.234375,-18.6328125,30.9375,-18.28125",1,1,737.75
remote_event,87.8551687239411,"28.828125,-17.9296875,29.53125,-17.578125",0,1,762.44
remote_event,86.4322334457445,"29.53125,-18.28125,30.234375,-17.9296875",0,1,1201.54
remote_event,83.9668198835207,"30.234375,-17.2265625,30.9375,-16.875",0,1,500.01
remote_event,87.7347369775822,"30.9375,-18.984375,31.640625,-18.6328125",0,1,678.6
remote_event,86.231209092314,"32.34375,-19.3359375,33.046875,-18.984375",1,1,889.03
remote_event,96.6448410897896,"33.046875,-19.6875,33.75,-19.3359375",1,1,578.57
remote_event,94.0860006901601,"33.046875,-18.984375,33.75,-18.6328125",1,1,644.86
remote_event,81.5712442467309,"27.421875,-11.7333984375,27.509765625,-11.689453125",0,1,108965.23
remote_event,87.1573120259031,"32.34375,-16.875,33.75,-16.171875",1,1,109.29
remote_event,84.4402504239336,"33.3984375,-16.171875,33.75,-15.99609375",1,1,4490.5
