event_type,event_percentage,bbox,road_completeness,building_completeness,current_density
local_knowledge,67.5988219665834,"-72.421875,19.6875,-71.71875,20.0390625",0,0,985.61
local_knowledge,68.6494025406159,"32.34375,-25.83984375,32.6953125,-25.6640625",1,0,5840.56
local_knowledge,66.5320913520697,"34.453125,-19.6875,35.15625,-19.3359375",1,0,982.91
local_knowledge,64.3104534959123,"33.75,-18.984375,34.453125,-18.6328125",1,0,398.73
local_knowledge,83.8676082097134,"30.05859375,-1.40625,30.234375,-1.318359375",1,0,5500.53
local_knowledge,66.7256318684906,"29.8828125,-1.23046875,30.234375,-1.0546875",1,0,4799.71
local_knowledge,60.3213527439165,"108.28125,-6.591796875,108.45703125,-6.50390625",1,0,34186.05
local_knowledge,68.4142456073941,"34.1015625,31.46484375,34.453125,31.640625",1,0,7978.85
local_knowledge,62.9299929475155,"79.8046875,7.294921875,79.98046875,7.3828125",1,0,37028.43
remote_event,83.7289182952593,"91.7578125,22.5,92.109375,22.67578125",0,0,4853.35
remote_event,85.9682435141932,"90.3515625,23.90625,90.439453125,23.9501953125",1,0,129238.74
remote_event,94.5235634678847,"90.3515625,23.9501953125,90.439453125,23.994140625",0,0,131512.44
remote_event,81.6050506683456,"90.703125,24.609375,91.0546875,24.78515625",1,0,9259.71
remote_event,87.2034759607489,"90.703125,24.78515625,90.87890625,24.873046875",1,0,13880.71
remote_event,92.3635434989839,"90.703125,24.873046875,90.87890625,24.9609375",1,0,16661.21
remote_event,91.56513941763,"-95.2734375,16.171875,-94.921875,16.34765625",1,0,9226.67
remote_event,84.5189657370502,"-118.564453125,34.189453125,-118.4765625,34.2333984375",0,0,225982.41
remote_event,85.2728685439855,"-118.4765625,34.189453125,-118.388671875,34.2333984375",0,0,231463.0
remote_event,82.8737001427164,"-118.125,34.0576171875,-118.037109375,34.1015625",0,0,245900.96
remote_event,85.5507934971216,"-10.72265625,6.240234375,-10.546875,6.328125",1,0,50435.45
remote_event,82.9278348403485,"-9.84375,9.140625,-8.4375,9.84375",1,0,85.24
remote_event,80.2145884078022,"-11.25,9.84375,-8.4375,11.25",1,0,265.53
remote_event,83.255835917455,"-3.515625,13.7109375,-2.8125,14.0625",1,0,271.47
remote_event,91.1112254498412,"-4.21875,14.4140625,-3.8671875,14.58984375",1,0,4969.56
remote_event,80.9510983248611,"-3.515625,14.0625,-2.8125,14.4140625",1,0,378.1
remote_event,90.3339904849586,"-3.515625,14.4140625,-2.8125,14.765625",1,0,574.98
remote_event,83.7698989859663,"-2.8125,14.765625,-1.40625,15.46875",1,0,153.94
remote_event,82.2517003453441,"31.2890625,-26.71875,31.640625,-26.54296875",1,0,1882.67
remote_event,85.1799118545383,"31.640625,-26.71875,32.34375,-26.3671875",1,0,1144.6
remote_event,98.8048806243166,"15.46875,-17.05078125,15.8203125,-16.875",1,0,928.12
remote_event,81.6427709836143,"15.380859375,-4.4384765625,15.46875,-4.39453125",1,0,112946.43
remote_event,94.7538777920421,"16.875,-1.40625,19.6875,0.0",0,0,125.7
remote_event,96.0762340049953,"33.046875,-21.09375,33.75,-20.7421875",1,0,354.81
remote_event,95.8705777318833,"33.046875,-20.7421875,33.75,-20.390625",1,0,325.42
remote_event,97.0052037418581,"28.125,-19.6875,28.828125,-19.3359375",1,0,276.49
remote_event,85.2121059974799,"28.828125,-19.3359375,29.53125,-18.984375",1,0,798.81
remote_event,93.7724328524222,"28.125,-18.984375,28.828125,-18.6328125",1,0,599.74
remote_event,95.3674043903691,"28.125,-18.6328125,28.828125,-18.28125",0,0,748.22
remote_event,90.5976566157037,"28.828125,-18.984375,29.53125,-18.6328125",0,0,738.49
remote_event,83.3504905885646,"28.828125,-18.6328125,29.53125,-18.28125",1,0,721.99
remote_event,87.1206437885821,"29.53125,-19.3359375,30.234375,-18.984375",1,0,776.65
remote_event,91.2003484433391,"28.125,-18.28125,28.828125,-17.9296875",0,0,555.65
remote_event,80.4619215266959,"28.125,-17.9296875,28.828125,-17.578125",0,0,647.23
remote_event,94.1257458117539,"28.828125,-18.28125,29.53125,-17.9296875",0,0,1141.77
remote_event,88.5802334075004,"28.828125,-17.578125,29.53125,-17.2265625",0,0,572.16
remote_event,85.8815190825774,"28.828125,-17.2265625,29.53125,-16.875",1,0,1061.65
remote_event,94.5159581372992,"29.53125,-17.9296875,30.234375,-17.578125",0,0,687.91
remote_event,84.6716973222239,"30.234375,-18.28125,30.9375,-17.9296875",1,0,898.99
remote_event,92.6897424836078,"29.53125,-17.578125,30.234375,-17.2265625",1,0,1672.06
remote_event,96.0685401556543,"29.53125,-17.2265625,30.234375,-16.875",1,0,879.56
remote_event,89.3957487461189,"30.234375,-17.578125,30.9375,-17.2265625",1,0,749.08
remote_event,90.7785216599913,"33.046875,-19.16015625,33.3984375,-18.984375",1,0,1934.94
remote_event,95.346947738252,"33.3984375,-19.3359375,33.75,-19.16015625",0,0,878.96
remote_event,86.9400051144905,"33.3984375,-19.16015625,33.57421875,-19.072265625",1,0,26160.21
remote_event,87.7684318375238,"32.6953125,-18.984375,33.046875,-18.80859375",0,0,2748.91
remote_event,96.7529661418899,"33.046875,-18.6328125,33.75,-18.28125",0,0,297.68
remote_event,91.6328577842676,"25.3125,-16.875,26.71875,-16.171875",1,0,155.42
remote_event,90.7333094739571,"29.53125,-16.875,30.234375,-16.5234375",1,0,1102.18
remote_event,89.3286358958118,"30.9375,-14.4140625,31.640625,-14.0625",1,0,835.81
remote_event,80.3456179214975,"33.75,-21.09375,35.15625,-20.390625",1,0,145.69
remote_event,94.7439574405866,"33.75,-20.390625,34.453125,-20.0390625",1,0,521.1
remote_event,87.858080875551,"33.75,-20.0390625,34.453125,-19.6875",1,0,476.44
remote_event,96.7356329012974,"33.75,-19.3359375,34.453125,-18.984375",1,0,1386.3
remote_event,93.7920337834315,"33.75,-18.28125,35.15625,-17.578125",1,0,166.1
remote_event,89.3632860395866,"35.5078125,-16.34765625,35.859375,-16.171875",1,0,1296.33
remote_event,84.316464988515,"33.3984375,-9.31640625,33.75,-9.140625",1,0,6630.42
remote_event,81.7444962122559,"32.34375,-9.140625,32.6953125,-8.96484375",1,0,729.68
remote_event,85.4219122278258,"33.046875,-9.140625,33.3984375,-8.96484375",1,0,2474.23
remote_event,80.470545633773,"33.3984375,-8.9208984375,33.486328125,-8.876953125",1,0,112565.86
remote_event,84.5777684877555,"25.3125,-3.515625,26.71875,-2.8125",1,0,243.47
remote_event,89.3585006882157,"31.640625,-5.2734375,32.34375,-4.921875",1,0,1665.29
remote_event,81.6738855278284,"31.640625,-4.921875,32.34375,-4.5703125",0,0,1180.49
remote_event,82.2732596041237,"31.640625,-4.5703125,32.34375,-4.21875",1,0,546.62
remote_event,90.9427566004016,"32.34375,-4.21875,33.046875,-3.8671875",1,0,602.61
remote_event,80.7547098695245,"33.046875,-3.8671875,33.3984375,-3.69140625",1,0,1777.28
remote_event,86.7918994955513,"29.8828125,-1.58203125,30.234375,-1.40625",1,0,2974.0
remote_event,87.9915910581659,"28.125,-1.40625,28.828125,-1.0546875",1,0,482.0
remote_event,85.6342248013119,"29.8828125,-1.318359375,30.05859375,-1.23046875",0,0,15801.5
remote_event,88.8473907557433,"33.3984375,-2.63671875,33.75,-2.4609375",1,0,2705.42
remote_event,85.8552237888683,"32.34375,-2.109375,33.046875,-1.7578125",1,0,390.78
remote_event,94.8908790113011,"33.75,-9.31640625,34.1015625,-9.140625",0,0,3222.14
remote_event,80.4871896590864,"33.75,-9.140625,34.453125,-8.7890625",1,0,886.44
remote_event,87.1597342336879,"33.75,-8.7890625,34.453125,-8.4375",1,0,627.35
remote_event,90.9172835293943,"34.453125,-9.140625,35.15625,-8.7890625",1,0,2161.7
remote_event,93.4812867767854,"37.265625,-10.8984375,37.96875,-10.546875",1,0,291.46
remote_event,87.521450257403,"38.671875,-10.1953125,39.375,-9.84375",0,0,824.73
remote_event,94.3984513463051,"39.19921875,-7.03125,39.375,-6.943359375",1,0,30244.27
remote_event,92.7692641525656,"34.453125,-5.2734375,35.15625,-4.921875",1,0,1018.26
remote_event,92.1625343316151,"33.75,-2.98828125,34.1015625,-2.8125",1,0,2169.26
remote_event,88.2327643308188,"33.75,-2.4609375,34.1015625,-2.28515625",1,0,1469.09
remote_event,80.5401371502418,"34.1015625,-1.23046875,34.453125,-1.0546875",1,0,3283.29
remote_event,84.0194129802058,"105.8203125,-6.50390625,106.171875,-6.328125",1,0,21144.57
remote_event,82.1504826188344,"107.9296875,-7.734375,108.28125,-7.55859375",1,0,9582.64
remote_event,80.4474636771369,"107.9296875,-7.55859375,108.28125,-7.3828125",1,0,12426.66
remote_event,87.1150087167837,"108.45703125,-6.591796875,108.6328125,-6.50390625",1,0,10192.7
remote_event,91.074371685275,"110.21484375,-7.998046875,110.390625,-7.91015625",1,0,65492.15
remote_event,86.3670569820294,"104.765625,-3.8671875,105.46875,-3.515625",1,0,2735.59
remote_event,91.3345946943249,"104.765625,-3.515625,105.46875,-3.1640625",1,0,2561.24
remote_event,86.9181918057825,"116.54296875,-8.61328125,116.71875,-8.525390625",1,0,21809.02
remote_event,87.2761119846735,"112.5,-7.470703125,112.67578125,-7.3828125",1,0,42612.34
remote_event,86.9021802836713,"114.9609375,-8.4375,115.13671875,-8.349609375",1,0,7448.16
remote_event,87.5126242468056,"114.9609375,-8.173828125,115.13671875,-8.0859375",1,0,33580.93
remote_event,84.5204170027182,"120.9375,-9.140625,121.640625,-8.7890625",0,0,1315.29
remote_event,88.3825018916116,"121.640625,-9.140625,122.34375,-8.7890625",0,0,1074.56
remote_event,85.8804870974966,"114.521484375,-3.33984375,114.609375,-3.2958984375",0,0,207329.42
remote_event,88.069919354306,"114.521484375,-3.2958984375,114.609375,-3.251953125",0,0,103751.9
remote_event,82.5169147496617,"117.158203125,-0.4833984375,117.24609375,-0.439453125",1,0,67927.87
remote_event,87.3333924480507,"119.53125,-2.109375,120.9375,-1.40625",1,0,565.61
remote_event,82.8425906461077,"124.453125,-9.4921875,125.15625,-9.140625",0,0,2168.11
remote_event,84.4849105086932,"126.5625,-3.515625,127.96875,-2.8125",0,0,380.41
remote_event,80.6407855704201,"178.59375,-16.875,180.0,-16.171875",0,0,455.28
remote_event,83.7231240173672,"5.625,9.140625,6.328125,9.4921875",1,0,813.76
remote_event,86.5337556541912,"6.328125,9.84375,7.03125,10.1953125",0,0,783.11
remote_event,80.7763952689261,"14.23828125,10.546875,14.4140625,10.634765625",1,0,25048.43
remote_event,83.8510537855764,"14.765625,10.546875,15.46875,10.8984375",1,0,451.67
remote_event,80.8056684188299,"29.1796875,0.52734375,29.53125,0.703125",1,0,5211.2
remote_event,85.7019593429769,"29.8828125,0.52734375,30.234375,0.703125",1,0,4230.02
remote_event,90.7212649412607,"30.234375,0.17578125,30.5859375,0.3515625",1,0,2173.47
remote_event,81.1558038910607,"30.5859375,0.3515625,30.9375,0.52734375",1,0,2178.06
remote_event,84.6528246680171,"30.5859375,0.52734375,30.9375,0.703125",1,0,1948.32
remote_event,82.1493624772313,"30.234375,0.703125,30.9375,1.0546875",1,0,2021.38
remote_event,92.1816795556039,"30.9375,1.0546875,31.640625,1.40625",1,0,1478.7
remote_event,93.2252707307577,"31.9921875,1.93359375,32.34375,2.109375",0,0,2862.97
remote_event,99.2635759037832,"27.421875,8.7890625,27.7734375,8.96484375",1,0,1342.66
remote_event,85.9316549676669,"27.7734375,8.7890625,28.125,8.96484375",1,0,797.11
remote_event,96.6540962009877,"27.7734375,8.96484375,28.125,9.140625",1,0,790.67
remote_event,93.6724450561454,"27.421875,9.140625,28.125,9.4921875",1,0,337.88
remote_event,83.9468413067773,"88.2421875,22.4560546875,88.330078125,22.5",1,0,96530.28
remote_event,90.79349144602,"84.0234375,27.59765625,84.375,27.7734375",1,0,8507.02
remote_event,93.9715060046246,"88.2421875,22.587890625,88.330078125,22.6318359375",1,0,76957.68
