event_type,event_percentage,bbox,road_completeness,building_completeness,current_density
local_knowledge,67.5988219665834,"-72.421875,19.6875,-71.71875,20.0390625",0,0,417.72
local_knowledge,71.0243363548751,"39.19921875,-6.85546875,39.287109375,-6.8115234375",0,1,19523.16
local_knowledge,66.9537546369981,"39.19921875,-6.78955078125,39.2431640625,-6.767578125",0,1,18592.45
local_knowledge,66.6205541757859,"7.03125,8.7890625,7.734375,9.140625",0,1,4485.79
local_knowledge,61.0516576841195,"32.34375,15.64453125,32.6953125,15.8203125",0,1,12440.76
remote_event,80.0828612371271,"91.0546875,23.37890625,91.23046875,23.466796875",0,1,4046.81
remote_event,83.7289182952593,"91.7578125,22.5,92.109375,22.67578125",0,0,1220.01
remote_event,81.9717475517576,"90.263671875,23.90625,90.3515625,23.9501953125",0,1,8616.84
remote_event,94.5235634678847,"90.3515625,23.9501953125,90.439453125,23.994140625",0,0,7090.0
remote_event,84.1446967372812,"-118.388671875,33.837890625,-118.30078125,33.8818359375",0,1,23169.48
remote_event,84.6845926310191,"-118.212890625,33.8818359375,-118.125,33.92578125",0,1,24060.42
remote_event,83.270185332041,"-118.388671875,33.92578125,-118.30078125,33.9697265625",0,1,24593.71
remote_event,81.0994672132136,"-118.388671875,34.013671875,-118.30078125,34.0576171875",0,1,23363.89
remote_event,84.5189657370502,"-118.564453125,34.189453125,-118.4765625,34.2333984375",0,0,24430.62
remote_event,80.9053089243653,"-118.4765625,34.1455078125,-118.388671875,34.189453125",0,1,24749.87
remote_event,85.2728685439855,"-118.4765625,34.189453125,-118.388671875,34.2333984375",0,0,23787.42
remote_event,80.1755923322761,"-118.388671875,34.189453125,-118.30078125,34.2333984375",0,1,16694.39
remote_event,82.8737001427164,"-118.125,34.0576171875,-118.037109375,34.1015625",0,0,23339.61
remote_event,84.2384554203633,"-118.037109375,34.0576171875,-117.94921875,34.1015625",0,1,20437.63
remote_event,94.7538777920421,"16.875,-1.40625,19.6875,0.0",0,0,97.1
remote_event,81.1214627635645,"26.71875,-20.390625,28.125,-19.6875",0,1,363.86
remote_event,93.3742109465628,"28.125,-20.0390625,28.828125,-19.6875",0,1,562.92
remote_event,93.2079789103094,"29.53125,-20.7421875,30.234375,-20.390625",0,1,547.99
remote_event,91.5033423540095,"30.234375,-20.7421875,30.9375,-20.390625",0,1,678.91
remote_event,80.690966795454,"29.53125,-20.390625,30.234375,-20.0390625",0,1,683.58
remote_event,94.3116423879068,"32.34375,-20.390625,33.75,-19.6875",0,1,871.68
remote_event,95.3674043903691,"28.125,-18.6328125,28.828125,-18.28125",0,0,543.0
remote_event,90.5976566157037,"28.828125,-18.984375,29.53125,-18.6328125",0,0,958.73
remote_event,91.2003484433391,"28.125,-18.28125,28.828125,-17.9296875",0,0,381.06
remote_event,80.4619215266959,"28.125,-17.9296875,28.828125,-17.578125",0,0,469.95
remote_event,94.1257458117539,"28.828125,-18.28125,29.53125,-17.9296875",0,0,712.09
remote_event,87.8551687239411,"28.828125,-17.9296875,29.53125,-17.578125",0,1,748.65
remote_event,88.5802334075004,"28.828125,-17.578125,29.53125,-17.2265625",0,0,608.07
remote_event,86.4322334457445,"29.53125,-18.28125,30.234375,-17.9296875",0,1,740.28
remote_event,94.5159581372992,"29.53125,-17.9296875,30.234375,-17.578125",0,0,619.95
remote_event,83.9668198835207,"30.234375,-17.2265625,30.9375,-16.875",0,1,727.1
remote_event,87.7347369775822,"30.9375,-18.984375,31.640625,-18.6328125",0,1,664.07
remote_event,95.346947738252,"33.3984375,-19.3359375,33.75,-19.16015625",0,0,312.24
remote_event,87.7684318375238,"32.6953125,-18.984375,33.046875,-18.80859375",0,0,710.83
remote_event,96.7529661418899,"33.046875,-18.6328125,33.75,-18.28125",0,0,73.15
remote_event,81.5712442467309,"27.421875,-11.7333984375,27.509765625,-11.689453125",0,1,14927.39
remote_event,81.6738855278284,"31.640625,-4.921875,32.34375,-4.5703125",0,0,168.21
remote_event,85.6342248013119,"29.8828125,-1.318359375,30.05859375,-1.23046875",0,0,3251.98
remote_event,94.8908790113011,"33.75,-9.31640625,34.1015625,-9.140625",0,0,600.52
remote_event,85.5011813394691,"35.15625,-9.84375,36.5625,-9.140625",0,1,107.22
remote_event,87.521450257403,"38.671875,-10.1953125,39.375,-9.84375",0,0,291.39
remote_event,89.2741166493094,"33.75,-5.2734375,34.453125,-4.921875",0,1,128.45
remote_event,93.7234990815477,"108.28125,-6.328125,109.6875,-5.625",0,1,21.55
remote_event,85.350434025378,"112.763671875,-7.3388671875,112.8515625,-7.294921875",0,1,13566.88
remote_event,85.7009754107659,"112.763671875,-7.2509765625,112.8515625,-7.20703125",0,1,8424.45
remote_event,89.1134282424594,"115.48828125,-8.4375,115.6640625,-8.349609375",0,1,3261.79
remote_event,84.5204170027182,"120.9375,-9.140625,121.640625,-8.7890625",0,0,379.65
remote_event,84.1719500128266,"120.9375,-8.7890625,121.640625,-8.4375",0,1,775.89
remote_event,88.3825018916116,"121.640625,-9.140625,122.34375,-8.7890625",0,0,117.4
remote_event,85.8804870974966,"114.521484375,-3.33984375,114.609375,-3.2958984375",0,0,12788.43
remote_event,88.069919354306,"114.521484375,-3.2958984375,114.609375,-3.251953125",0,0,8141.49
remote_event,82.8425906461077,"124.453125,-9.4921875,125.15625,-9.140625",0,0,888.39
remote_event,84.4849105086932,"126.5625,-3.515625,127.96875,-2.8125",0,0,145.35
remote_event,80.6407855704201,"178.59375,-16.875,180.0,-16.171875",0,0,465.54
remote_event,86.5337556541912,"6.328125,9.84375,7.03125,10.1953125",0,0,324.68
remote_event,93.2252707307577,"31.9921875,1.93359375,32.34375,2.109375",0,0,1106.75
remote_event,86.7077470148754,"88.41796875,22.587890625,88.59375,22.67578125",0,1,9827.53
